size,connectivity,num_steps,trial,mutation_rate,attractors
20,2,100,0,0.03,[['11111     11 11  11 ']]
20,2,100,1,0.03,[['  111  11       1  1']]
20,2,100,2,0.03,"[['1   11 1 1     1 1  ', '11  11 1 1  1  1  1 ']]"
20,2,100,3,0.03,[['     111   1 111  1 ']]
20,2,100,4,0.03,[['111   1   1  1 1   1']]
20,2,100,5,0.03,"[['11 111  111 1  1 11 ', ' 1 1   1 1      1 1 ']]"
20,2,100,6,0.03,"[['     11  11 1   1  1', '   1  111  11     11', ' 1111 1    1 1    11', ' 111     1 1 1  1  1']]"
20,2,100,7,0.03,[['1     1    1 1 1111 ']]
20,2,100,8,0.03,[['11 111 1 1  1 11  11']]
20,2,100,9,0.03,[['   111   1  1 1 1111']]
20,2,100,0,0.05,[['1111    1  11  1 1  ']]
20,2,100,1,0.05,[['1 11 1    111 1111 1']]
20,2,100,2,0.05,"[['11 11   11 1       1', '1  11 1  1  1    11 ']]"
20,2,100,3,0.05,[[' 1   11 1  1 1 111 1']]
20,2,100,4,0.05,[['11 11 11   1  1   11']]
20,2,100,5,0.05,[['1 1    1 1 1 1    1 ']]
20,2,100,6,0.05,[['11 1 11 1 111  1  1 ']]
20,2,100,7,0.05,"[['1 11  11  1   1 1 1 ', '1 11  1  1   11   1 ']]"
20,2,100,8,0.05,[[' 1 11 111  1 1 1 1  ']]
20,2,100,9,0.05,[['1 111 11    1  1 1  ']]
20,2,100,0,0.01,[['1   11  1   1 111 11']]
20,2,100,1,0.01,[['1 1   111 1 1 111 11']]
20,2,100,2,0.01,[['1 1  1 1 11 1 1  1  ']]
20,2,100,3,0.01,[['1    1 11    1  111 ']]
20,2,100,4,0.01,"[['   1   1  1  1 11   ', '     1 1  1  1 11   ']]"
20,2,100,5,0.01,"[['11  1 1       1    1', ' 1 111       1 11 11', ' 1 11   1    1 1  11']]"
20,2,100,6,0.01,[[' 1 11   111 1111 1  ']]
